# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_dmeff          12:T_dmeff               13:Vrel_dmeff            14:dkappa_dmeff          15:dkappaT_dmeff         16:cdmeff2               17:(.)rho_lambda         18:(.)rho_fld            19:(.)w_fld              20:(.)rho_ur             21:(.)rho_crit           22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       1.000000000000e+14       7.559518509159e-26       4.634785000235e-09       2.157256292801e+22       1.415848720639e+04       1.415848720639e-10       1.415848720639e+18       2.676317464532e-09       2.751560535470e+44       2.562433079091e+33       1.303024480644e+34       2.725500000000e+14       0.000000000000e+00       5.817267916817e+26       5.599951652025e+25       3.914427962767e+02       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.902194177205e+44       4.653754712831e+44       4.653754712831e+44       1.551251570892e+44      -1.338578885209e+53       5.735969180497e-20       2.000000000000e+14 
       9.930486593843e+13       7.665722184694e-26       4.667526809499e-09       2.127368887304e+22       1.415848720639e+04       1.425759661684e-10       1.406006673922e+18       2.695051686784e-09       2.675846458098e+44       2.509366642000e+33       1.276039632847e+34       2.706554115769e+14       0.000000000000e+00       5.676961092609e+26       5.464886284013e+25      -7.889152830266e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.849851924417e+44       4.525698382668e+44       4.525698382668e+44       1.508566127505e+44      -1.292696632241e+53       8.002381081443e-08       1.433565615564e+02 
       9.861456399050e+13       7.773417915667e-26       4.700268618762e-09       2.097895552684e+22       1.415848720639e+04       1.435739979315e-10       1.396233042623e+18       2.713917048591e-09       2.602215788102e+44       2.457399178681e+33       1.249613624904e+34       2.687739937692e+14       0.000000000000e+00       5.540038351121e+26       5.333078579199e+25      -5.571419394243e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.798949961722e+44       4.401165749973e+44       4.401165749973e+44       1.467055249941e+44      -1.248387077872e+53       1.600476216288e-07       7.167828077820e+01 
       9.792906056653e+13       7.882626663964e-26       4.733010428026e-09       2.068830552256e+22       1.415848720639e+04       1.445790159171e-10       1.386527351165e+18       2.732914467931e-09       2.530611196824e+44       2.406507930052e+33       1.223734883580e+34       2.669056541506e+14       0.000000000000e+00       5.406418046945e+26       5.204449942215e+25      -5.993838050088e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.749448656977e+44       4.280059853948e+44       4.280059853948e+44       1.426686617934e+44      -1.205596314966e+53       2.400714324432e-07       4.778552051880e+01 
       9.724832231036e+13       7.993369685966e-26       4.767571226694e-09       2.040168228810e+22       1.415848720639e+04       1.455910690285e-10       1.376889127274e+18       2.752044869207e-09       2.460976933110e+44       2.356670608359e+33       1.198392075314e+34       2.650503020480e+14       0.000000000000e+00       5.276020535128e+26       5.078923703410e+25      -5.687149500682e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.701309468591e+44       4.162286401844e+44       4.162286401844e+44       1.387428800567e+44      -1.164272284151e+53       3.200952432575e-07       3.583914038910e+01 
       9.657231609767e+13       8.105668536684e-26       4.800313035958e-09       2.011903003514e+22       1.415848720639e+04       1.466102065117e-10       1.367317901960e+18       2.771309183291e-09       2.393258779894e+44       2.307865387413e+33       1.173574101259e+34       2.632078471159e+14       0.000000000000e+00       5.148768083305e+26       4.956425034276e+25      -5.580802806826e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.654494915512e+44       4.047753695547e+44       4.047753695547e+44       1.349251231802e+44      -1.124364710488e+53       4.001190540718e-07       2.867131231128e+01 
       9.590100903443e+13       8.219545073956e-26       4.833054845221e-09       1.984029374827e+22       1.415848720639e+04       1.476364779573e-10       1.357813209494e+18       2.790708347574e-09       2.327404011992e+44       2.260070893034e+33       1.149270092415e+34       2.613781997194e+14       0.000000000000e+00       5.024584836180e+26       4.836880913249e+25      -5.425626046731e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.608968548046e+44       3.936372560176e+44       3.936372560176e+44       1.312124186679e+44      -1.085825042303e+53       4.801428648862e-07       2.389276025940e+01 
       9.523436845525e+13       8.335021462700e-26       4.867615643889e-09       1.956541917429e+22       1.415848720639e+04       1.486699333030e-10       1.348374587382e+18       2.810243306007e-09       2.263361355047e+44       2.213266193686e+33       1.125469404874e+34       2.595612708241e+14       0.000000000000e+00       4.903396767413e+26       4.720220079400e+25      -5.288260398305e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.564694919476e+44       3.828056274657e+44       3.828056274657e+44       1.276018758174e+44      -1.048606392121e+53       5.601666757005e-07       2.047950879377e+01 
       9.457236192179e+13       8.452120179229e-26       4.902176442556e-09       1.929435281164e+22       1.415848720639e+04       1.497106228361e-10       1.339001576348e+18       2.829915009149e-09       2.201080945604e+44       2.167430791313e+33       1.102161615157e+34       2.577569720208e+14       0.000000000000e+00       4.785131636266e+26       4.606372990696e+25      -5.150728060739e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.521639558466e+44       3.722720504202e+44       3.722720504202e+44       1.240906834690e+44      -1.012663479619e+53       6.401904865148e-07       1.791957019455e+01 
       9.391495722125e+13       8.570864015627e-26       4.936737241223e-09       1.902704189999e+22       1.415848720639e+04       1.507585971959e-10       1.329693720306e+18       2.849724414213e-09       2.140514292293e+44       2.122544612363e+33       1.079336515648e+34       2.559652155129e+14       0.000000000000e+00       4.669718944336e+26       4.495271782349e+25      -5.017728034716e+10       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.479768942219e+44       3.620283234641e+44       3.620283234641e+44       1.206761078171e+44      -9.779525765438e+52       7.202142973291e-07       1.592850683960e+01 
